price,area,cafe_present,restaurant_present,bar_present,pub_present,fast_food_present,school_present,university_present,library_present,hospital_present,clinic_present,pharmacy_present,bank_present,atm_present,bus_station_present,parking_present
2880,115.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
2880,115.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2880,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2880,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2880,115.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2880,115.0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1
2880,115.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
2880,115.0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1
2880,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2880,115.0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1
2880,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7980,260.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7980,260.0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1
7980,260.0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0
7980,260.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
7980,260.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7980,260.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6700,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6700,170.0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1
6700,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6700,170.0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
6700,170.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
6700,170.0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1
6700,170.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
6700,170.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6700,170.0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
6700,170.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2750,33.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2750,33.0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
2750,33.0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
2750,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2750,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2750,33.0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
2750,33.0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1
2750,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2750,33.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2750,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2750,33.0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
2750,33.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2750,33.0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
3300,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3300,170.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
3300,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3300,170.0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
3300,170.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
3300,170.0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
3300,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3300,170.0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
3300,170.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3300,170.0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
3300,170.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3300,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3710,300.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3710,300.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3710,300.0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
3710,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3710,300.0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
3710,300.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
3710,300.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3710,300.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3710,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3710,300.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
4340,121.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4340,121.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4340,121.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4340,121.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
4340,121.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
4340,121.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4340,121.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4340,121.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4340,121.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
4340,121.0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
4340,121.0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
4340,121.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4340,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4340,121.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4340,121.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3250,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3250,150.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
3250,150.0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0
3250,150.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
3250,150.0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
3250,150.0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
3250,150.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3250,150.0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1
3250,150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3250,150.0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1
3250,150.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
3250,150.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3250,150.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3250,150.0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
5950,150.0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
5950,150.0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
5950,150.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
5950,150.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5950,150.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2280,81.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2280,81.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2280,81.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2280,81.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
2280,81.0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
2280,81.0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
2280,81.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2280,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2280,81.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2280,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2280,81.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
2280,81.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,117.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,117.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,117.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,117.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3480,117.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3480,117.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3480,117.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
3480,117.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3480,117.0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1
3480,117.0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1
3480,117.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,117.0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1
3480,117.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,117.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2490,108.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2490,108.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2490,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2490,108.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2490,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2490,108.0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
2490,108.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2490,108.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2490,108.0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
3590,170.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3590,170.0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0
3590,170.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3590,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3590,170.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3590,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3590,170.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3590,170.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
3590,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3590,170.0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
3590,170.0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
3590,170.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3590,170.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
2030,140.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2030,140.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2030,140.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2030,140.0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
2030,140.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2030,140.0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
2030,140.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
2030,140.0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
2030,140.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2030,140.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2030,140.0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
2030,140.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2030,140.0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1
2030,140.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2030,140.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2590,122.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2590,122.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2590,122.0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0
2590,122.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2590,122.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2590,122.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2590,122.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
2590,122.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2590,122.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3270,128.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3270,128.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
3270,128.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
3270,128.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3270,128.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3270,128.0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1
3270,128.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3270,128.0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1
3270,128.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3270,128.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3270,128.0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1
3480,120.0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1
3480,120.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3480,120.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
3480,120.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,120.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,120.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
3480,120.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
3480,120.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3480,120.0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
3480,120.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,120.0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
3480,120.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2240,110.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,110.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2240,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2240,110.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,110.0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
2240,110.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2240,110.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2240,110.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2240,110.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2240,110.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,110.0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0
2240,110.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
2240,110.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
2140,81.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2140,81.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,81.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2140,81.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,81.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,81.0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1
2140,81.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2140,81.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2140,81.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2490,120.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2490,120.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2490,120.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2490,120.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2490,120.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
2490,120.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2490,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2490,120.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2490,120.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2490,120.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2490,120.0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0
2490,120.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
